# script: Chirp_sweep_log.py
# csv_file: data/chirp_sweep_2026-07-20_14-30-17.csv
# samplerate: 48000
# amplitude: 1.0
# output_device: Externe Kopfhörer
# port: /dev/cu.usbserial-1110
# baud: 115200
# sweep: {"f0": 20.0, "f1": 20000.0, "duration_s": 40.0, "type": "log"}
# run_timestamp_local: 2026-07-20T14:30:20.003673+02:00
wall_clock,t_rel_s,f_inst_hz,arduino_t_ms,p2p_0,rms_0,vmax_0,vmin_0,p2p_1,rms_1,vmax_1,vmin_1
2026-07-20T14:30:20.126581+02:00,0.002,20.01,428,4.0,0.81,278.0,274.0,3.0,0.6,295.0,292.0
2026-07-20T14:30:20.126867+02:00,0.002,20.01,449,5.0,1.07,278.0,273.0,3.0,0.8,295.0,292.0
2026-07-20T14:30:20.127093+02:00,0.002,20.01,472,4.0,0.91,278.0,274.0,3.0,0.73,295.0,292.0
2026-07-20T14:30:20.127308+02:00,0.002,20.01,493,4.0,0.88,278.0,274.0,3.0,0.68,295.0,292.0
2026-07-20T14:30:20.127517+02:00,0.003,20.01,514,4.0,0.88,278.0,274.0,3.0,0.7,295.0,292.0
2026-07-20T14:30:20.127724+02:00,0.003,20.01,536,6.0,1.14,279.0,273.0,4.0,0.85,296.0,292.0
2026-07-20T14:30:20.137053+02:00,0.012,20.04,557,5.0,1.14,278.0,273.0,3.0,0.9,295.0,292.0
2026-07-20T14:30:20.160049+02:00,0.035,20.12,578,18.0,3.38,285.0,267.0,13.0,2.68,300.0,287.0
2026-07-20T14:30:20.179262+02:00,0.054,20.19,599,10.0,1.93,281.0,271.0,8.0,1.54,298.0,290.0
2026-07-20T14:30:20.200788+02:00,0.076,20.26,621,4.0,0.99,277.0,273.0,4.0,0.72,295.0,291.0
2026-07-20T14:30:20.222126+02:00,0.097,20.34,642,4.0,1.02,277.0,273.0,3.0,0.78,295.0,292.0
2026-07-20T14:30:20.242594+02:00,0.118,20.41,663,6.0,1.2,279.0,273.0,3.0,0.88,295.0,292.0
2026-07-20T14:30:20.266725+02:00,0.142,20.50,684,5.0,1.12,278.0,273.0,3.0,0.83,295.0,292.0
2026-07-20T14:30:20.285771+02:00,0.161,20.56,706,5.0,1.19,278.0,273.0,4.0,0.94,296.0,292.0
2026-07-20T14:30:20.308202+02:00,0.183,20.64,728,5.0,0.95,278.0,273.0,3.0,0.73,295.0,292.0
2026-07-20T14:30:20.329744+02:00,0.205,20.72,750,4.0,0.94,278.0,274.0,3.0,0.74,295.0,292.0
2026-07-20T14:30:20.352442+02:00,0.227,20.80,772,6.0,1.31,278.0,272.0,4.0,1.04,295.0,291.0
2026-07-20T14:30:20.373739+02:00,0.249,20.88,794,5.0,1.07,277.0,272.0,3.0,0.82,294.0,291.0
2026-07-20T14:30:20.396465+02:00,0.271,20.96,816,5.0,0.89,278.0,273.0,3.0,0.7,295.0,292.0
2026-07-20T14:30:20.417834+02:00,0.293,21.04,838,7.0,1.35,279.0,272.0,5.0,1.16,296.0,291.0
2026-07-20T14:30:20.440392+02:00,0.315,21.12,860,6.0,1.61,278.0,272.0,5.0,1.27,296.0,291.0
2026-07-20T14:30:20.461785+02:00,0.337,21.20,882,5.0,1.22,278.0,273.0,5.0,1.04,296.0,291.0
2026-07-20T14:30:20.484348+02:00,0.359,21.28,904,6.0,1.41,278.0,272.0,4.0,1.05,295.0,291.0
2026-07-20T14:30:20.505972+02:00,0.381,21.36,926,3.0,0.77,277.0,274.0,2.0,0.57,295.0,293.0
2026-07-20T14:30:20.528494+02:00,0.404,21.44,948,4.0,1.02,278.0,274.0,3.0,0.77,295.0,292.0
2026-07-20T14:30:20.550182+02:00,0.425,21.52,970,5.0,1.2,277.0,272.0,4.0,0.94,295.0,291.0
2026-07-20T14:30:20.572825+02:00,0.448,21.61,992,5.0,1.22,278.0,273.0,4.0,0.98,295.0,291.0
2026-07-20T14:30:20.594115+02:00,0.469,21.69,1014,5.0,1.21,278.0,273.0,4.0,0.94,295.0,291.0
2026-07-20T14:30:20.616381+02:00,0.491,21.77,1036,3.0,0.81,276.0,273.0,3.0,0.63,294.0,291.0
2026-07-20T14:30:20.637097+02:00,0.512,21.85,1057,5.0,1.04,278.0,273.0,4.0,0.8,295.0,291.0
2026-07-20T14:30:20.659421+02:00,0.534,21.93,1079,3.0,0.81,277.0,274.0,3.0,0.64,295.0,292.0
2026-07-20T14:30:20.679870+02:00,0.555,22.01,1100,5.0,1.25,278.0,273.0,4.0,1.04,295.0,291.0
2026-07-20T14:30:20.701416+02:00,0.576,22.09,1121,5.0,0.96,277.0,272.0,3.0,0.78,294.0,291.0
2026-07-20T14:30:20.722022+02:00,0.597,22.17,1142,3.0,0.88,277.0,274.0,3.0,0.64,295.0,292.0
2026-07-20T14:30:20.743536+02:00,0.619,22.25,1163,3.0,0.79,277.0,274.0,2.0,0.62,294.0,292.0
2026-07-20T14:30:20.763918+02:00,0.639,22.33,1184,4.0,1.02,277.0,273.0,4.0,0.84,295.0,291.0
