# script: Stepped_tone_log.py
# csv_file: data/stepped_tone_2026-07-20_14-31-07.csv
# samplerate: 48000
# amplitude: 1.0
# output_device: Externe Kopfhörer
# port: /dev/cu.usbserial-1110
# baud: 115200
# tones: [100, 107, 115, 123, 143, 238, 241, 292, 306, 333, 495]
# dwell_s: 4.0
# notes_source: Notes/Baseplate/Baseplate_design.md, Notes/Coldplate/Coldplate.md
# run_timestamp_local: 2026-07-20T14:31:09.379516+02:00
wall_clock,t_rel_s,f_scheduled_hz,tone_index,arduino_t_ms,p2p_0,rms_0,vmax_0,vmin_0,p2p_1,rms_1,vmax_1,vmin_1
2026-07-20T14:31:09.493777+02:00,0.001,100.0,0,431,7.0,1.29,279.0,272.0,5.0,1.04,296.0,291.0
2026-07-20T14:31:09.494056+02:00,0.001,100.0,0,453,6.0,1.35,279.0,273.0,5.0,1.04,296.0,291.0
2026-07-20T14:31:09.494294+02:00,0.001,100.0,0,475,4.0,0.88,277.0,273.0,3.0,0.57,294.0,291.0
2026-07-20T14:31:09.494518+02:00,0.002,100.0,0,496,3.0,0.88,277.0,274.0,3.0,0.7,295.0,292.0
2026-07-20T14:31:09.494747+02:00,0.002,100.0,0,517,4.0,0.92,277.0,273.0,4.0,0.81,295.0,291.0
2026-07-20T14:31:09.495686+02:00,0.003,100.0,0,539,4.0,0.88,277.0,273.0,3.0,0.66,294.0,291.0
2026-07-20T14:31:09.517038+02:00,0.024,100.0,0,560,5.0,1.1,277.0,272.0,3.0,0.8,294.0,291.0
2026-07-20T14:31:09.537814+02:00,0.045,100.0,0,581,158.0,40.82,372.0,214.0,120.0,30.73,366.0,246.0
2026-07-20T14:31:09.560481+02:00,0.068,100.0,0,603,166.0,44.66,375.0,209.0,124.0,33.3,366.0,242.0
2026-07-20T14:31:09.582024+02:00,0.089,100.0,0,625,164.0,44.48,373.0,209.0,123.0,33.24,365.0,242.0
2026-07-20T14:31:09.604362+02:00,0.111,100.0,0,647,163.0,43.88,372.0,209.0,121.0,32.66,363.0,242.0
2026-07-20T14:31:09.625905+02:00,0.133,100.0,0,669,165.0,44.76,374.0,209.0,124.0,33.49,365.0,241.0
2026-07-20T14:31:09.648382+02:00,0.155,100.0,0,691,165.0,44.38,374.0,209.0,123.0,33.07,364.0,241.0
2026-07-20T14:31:09.670020+02:00,0.177,100.0,0,713,166.0,45.03,374.0,208.0,125.0,33.72,366.0,241.0
2026-07-20T14:31:09.692480+02:00,0.200,100.0,0,735,164.0,43.74,372.0,208.0,123.0,32.66,364.0,241.0
2026-07-20T14:31:09.713909+02:00,0.221,100.0,0,757,164.0,43.56,373.0,209.0,123.0,32.67,364.0,241.0
2026-07-20T14:31:09.736596+02:00,0.244,100.0,0,779,166.0,44.29,375.0,209.0,125.0,33.05,366.0,241.0
2026-07-20T14:31:09.757759+02:00,0.265,100.0,0,801,166.0,44.25,375.0,209.0,123.0,33.03,365.0,242.0
2026-07-20T14:31:09.779341+02:00,0.286,100.0,0,822,164.0,44.03,374.0,210.0,122.0,32.97,365.0,243.0
2026-07-20T14:31:09.799806+02:00,0.307,100.0,0,843,164.0,45.23,374.0,210.0,123.0,33.78,365.0,242.0
2026-07-20T14:31:09.822343+02:00,0.329,100.0,0,865,166.0,43.97,374.0,208.0,125.0,32.98,366.0,241.0
2026-07-20T14:31:09.843907+02:00,0.351,100.0,0,887,162.0,43.53,371.0,209.0,122.0,32.59,364.0,242.0
2026-07-20T14:31:09.866418+02:00,0.373,100.0,0,909,165.0,43.51,374.0,209.0,123.0,32.58,365.0,242.0
2026-07-20T14:31:09.887072+02:00,0.394,100.0,0,930,164.0,44.85,374.0,210.0,123.0,33.44,365.0,242.0
2026-07-20T14:31:09.909466+02:00,0.416,100.0,0,952,165.0,44.35,374.0,209.0,123.0,33.28,365.0,242.0
2026-07-20T14:31:09.930981+02:00,0.438,100.0,0,974,162.0,44.08,372.0,210.0,121.0,32.84,364.0,243.0
2026-07-20T14:31:09.953760+02:00,0.461,100.0,0,996,165.0,46.14,374.0,209.0,124.0,34.49,366.0,242.0
2026-07-20T14:31:09.975209+02:00,0.482,100.0,0,1018,163.0,44.46,373.0,210.0,123.0,33.28,365.0,242.0
2026-07-20T14:31:09.997773+02:00,0.505,100.0,0,1040,161.0,43.14,372.0,211.0,120.0,32.12,363.0,243.0
2026-07-20T14:31:10.019143+02:00,0.526,100.0,0,1062,162.0,43.15,373.0,211.0,123.0,32.28,364.0,241.0
2026-07-20T14:31:10.041796+02:00,0.549,100.0,0,1084,164.0,43.53,375.0,211.0,123.0,32.57,366.0,243.0
2026-07-20T14:31:10.063191+02:00,0.570,100.0,0,1106,160.0,41.59,370.0,210.0,121.0,30.97,364.0,243.0
2026-07-20T14:31:10.085738+02:00,0.593,100.0,0,1128,163.0,43.42,373.0,210.0,122.0,32.45,364.0,242.0
2026-07-20T14:31:10.107302+02:00,0.614,100.0,0,1150,164.0,44.64,374.0,210.0,123.0,33.4,365.0,242.0
2026-07-20T14:31:10.129802+02:00,0.637,100.0,0,1172,164.0,44.02,373.0,209.0,123.0,32.96,365.0,242.0
2026-07-20T14:31:10.152361+02:00,0.659,100.0,0,1195,162.0,43.23,372.0,210.0,122.0,32.28,364.0,242.0
2026-07-20T14:31:10.174892+02:00,0.682,100.0,0,1217,165.0,43.78,373.0,208.0,123.0,32.77,364.0,241.0
2026-07-20T14:31:10.197580+02:00,0.705,100.0,0,1240,163.0,43.27,373.0,210.0,123.0,32.44,365.0,242.0
