# script: Chirp_sweep_log.py
# csv_file: data/chirp_sweep_2026-07-20_14-09-31.csv
# samplerate: 48000
# amplitude: 1.0
# output_device: Externe Kopfhörer
# port: /dev/cu.usbserial-1110
# baud: 115200
# sweep: {"f0": 20.0, "f1": 20000.0, "duration_s": 40.0, "type": "log"}
# run_timestamp_local: 2026-07-20T14:09:33.535776+02:00
wall_clock,t_rel_s,f_inst_hz,arduino_t_ms,p2p_0,rms_0,vmax_0,vmin_0,p2p_1,rms_1,vmax_1,vmin_1
2026-07-20T14:09:33.667849+02:00,0.002,20.01,428,2.0,0.73,286.0,284.0,2.0,0.63,300.0,298.0
2026-07-20T14:09:33.668213+02:00,0.002,20.01,449,3.0,0.95,285.0,282.0,3.0,0.89,300.0,297.0
2026-07-20T14:09:33.668458+02:00,0.003,20.01,472,5.0,1.42,286.0,281.0,4.0,1.18,300.0,296.0
2026-07-20T14:09:33.668662+02:00,0.003,20.01,493,3.0,0.76,286.0,283.0,2.0,0.54,300.0,298.0
2026-07-20T14:09:33.669169+02:00,0.003,20.01,514,3.0,0.67,286.0,283.0,2.0,0.6,300.0,298.0
2026-07-20T14:09:33.669428+02:00,0.003,20.01,535,4.0,0.96,286.0,282.0,3.0,0.89,300.0,297.0
2026-07-20T14:09:33.669632+02:00,0.004,20.01,556,5.0,1.7,285.0,280.0,5.0,1.38,300.0,295.0
2026-07-20T14:09:33.692268+02:00,0.027,20.09,578,5.0,1.82,286.0,281.0,5.0,1.46,301.0,296.0
2026-07-20T14:09:33.711718+02:00,0.046,20.16,599,5.0,1.72,287.0,282.0,4.0,1.33,301.0,297.0
2026-07-20T14:09:33.737750+02:00,0.072,20.25,621,4.0,1.16,286.0,282.0,3.0,1.16,300.0,297.0
2026-07-20T14:09:33.754329+02:00,0.088,20.31,643,4.0,1.24,287.0,283.0,5.0,1.07,302.0,297.0
2026-07-20T14:09:33.774918+02:00,0.109,20.38,664,5.0,1.4,285.0,280.0,4.0,1.04,299.0,295.0
2026-07-20T14:09:33.796668+02:00,0.131,20.46,685,4.0,1.21,287.0,283.0,4.0,0.96,301.0,297.0
2026-07-20T14:09:33.818187+02:00,0.152,20.53,707,4.0,1.08,285.0,281.0,4.0,0.91,300.0,296.0
2026-07-20T14:09:33.839931+02:00,0.174,20.61,728,6.0,1.63,287.0,281.0,5.0,1.26,301.0,296.0
2026-07-20T14:09:33.860031+02:00,0.194,20.68,749,3.0,0.83,285.0,282.0,3.0,0.71,300.0,297.0
2026-07-20T14:09:33.884359+02:00,0.218,20.77,770,6.0,1.68,287.0,281.0,5.0,1.37,301.0,296.0
2026-07-20T14:09:33.903208+02:00,0.237,20.84,792,4.0,1.24,286.0,282.0,3.0,0.97,300.0,297.0
2026-07-20T14:09:33.925717+02:00,0.260,20.92,814,2.0,0.79,284.0,282.0,2.0,0.54,299.0,297.0
2026-07-20T14:09:33.947264+02:00,0.281,21.00,836,4.0,1.3,286.0,282.0,4.0,1.07,301.0,297.0
2026-07-20T14:09:33.969782+02:00,0.304,21.08,858,6.0,1.63,286.0,280.0,5.0,1.31,301.0,296.0
2026-07-20T14:09:33.992708+02:00,0.327,21.16,880,4.0,1.17,285.0,281.0,3.0,0.94,299.0,296.0
2026-07-20T14:09:34.013528+02:00,0.348,21.24,902,4.0,1.11,286.0,282.0,3.0,0.81,300.0,297.0
2026-07-20T14:09:34.034057+02:00,0.368,21.31,923,2.0,0.65,285.0,283.0,3.0,0.7,300.0,297.0
2026-07-20T14:09:34.055723+02:00,0.390,21.39,944,5.0,1.22,286.0,281.0,4.0,1.04,300.0,296.0
2026-07-20T14:09:34.079877+02:00,0.414,21.48,966,4.0,1.03,285.0,281.0,3.0,0.83,299.0,296.0
2026-07-20T14:09:34.098666+02:00,0.433,21.55,987,6.0,1.45,287.0,281.0,4.0,1.03,300.0,296.0
2026-07-20T14:09:34.119250+02:00,0.453,21.63,1008,2.0,0.7,285.0,283.0,2.0,0.52,300.0,298.0
2026-07-20T14:09:34.140693+02:00,0.475,21.71,1029,3.0,0.68,286.0,283.0,2.0,0.57,300.0,298.0
2026-07-20T14:09:34.161165+02:00,0.495,21.79,1050,5.0,1.39,286.0,281.0,5.0,1.24,301.0,296.0
2026-07-20T14:09:34.184018+02:00,0.518,21.87,1072,4.0,1.22,285.0,281.0,4.0,1.04,300.0,296.0
2026-07-20T14:09:34.207034+02:00,0.541,21.96,1094,5.0,1.35,287.0,282.0,3.0,1.06,300.0,297.0
2026-07-20T14:09:34.227863+02:00,0.562,22.04,1116,4.0,1.43,286.0,282.0,5.0,1.13,301.0,296.0
2026-07-20T14:09:34.248264+02:00,0.582,22.12,1137,3.0,0.94,285.0,282.0,4.0,0.9,300.0,296.0
2026-07-20T14:09:34.270665+02:00,0.605,22.20,1159,6.0,1.48,286.0,280.0,5.0,1.29,300.0,295.0
2026-07-20T14:09:34.291235+02:00,0.625,22.28,1180,4.0,1.28,286.0,282.0,3.0,1.0,300.0,297.0
2026-07-20T14:09:34.312720+02:00,0.647,22.36,1201,4.0,1.15,286.0,282.0,4.0,0.95,301.0,297.0
2026-07-20T14:09:34.333205+02:00,0.667,22.44,1222,4.0,1.05,287.0,283.0,3.0,0.83,301.0,298.0
2026-07-20T14:09:34.357831+02:00,0.692,22.54,1243,4.0,1.25,285.0,281.0,4.0,1.05,300.0,296.0
2026-07-20T14:09:34.375230+02:00,0.709,22.61,1264,5.0,1.2,286.0,281.0,4.0,0.93,300.0,296.0
2026-07-20T14:09:34.397991+02:00,0.732,22.70,1286,6.0,1.38,287.0,281.0,4.0,1.14,301.0,297.0
2026-07-20T14:09:34.419476+02:00,0.754,22.78,1308,4.0,1.13,285.0,281.0,4.0,0.93,300.0,296.0
2026-07-20T14:09:34.441833+02:00,0.776,22.87,1330,5.0,1.19,286.0,281.0,3.0,0.94,300.0,297.0
2026-07-20T14:09:34.462380+02:00,0.796,22.95,1351,4.0,1.01,286.0,282.0,3.0,0.91,300.0,297.0
2026-07-20T14:09:34.484778+02:00,0.819,23.04,1373,3.0,0.94,285.0,282.0,3.0,0.81,299.0,296.0
2026-07-20T14:09:34.505450+02:00,0.840,23.12,1394,5.0,1.03,287.0,282.0,4.0,0.83,301.0,297.0
2026-07-20T14:09:34.526707+02:00,0.861,23.21,1415,3.0,1.02,285.0,282.0,3.0,0.78,300.0,297.0
2026-07-20T14:09:34.547353+02:00,0.881,23.29,1436,5.0,1.6,287.0,282.0,5.0,1.27,302.0,297.0
2026-07-20T14:09:34.568649+02:00,0.903,23.37,1457,4.0,1.31,286.0,282.0,4.0,1.03,301.0,297.0
2026-07-20T14:09:34.589469+02:00,0.924,23.46,1478,4.0,1.0,286.0,282.0,3.0,0.81,300.0,297.0
2026-07-20T14:09:34.614147+02:00,0.948,23.56,1500,4.0,1.04,286.0,282.0,3.0,0.85,300.0,297.0
2026-07-20T14:09:34.632249+02:00,0.966,23.63,1521,4.0,1.1,286.0,282.0,3.0,0.82,300.0,297.0
2026-07-20T14:09:34.659029+02:00,0.993,23.74,1542,3.0,0.8,285.0,282.0,3.0,0.74,300.0,297.0
2026-07-20T14:09:34.674218+02:00,1.008,23.80,1563,4.0,1.38,286.0,282.0,4.0,1.12,300.0,296.0
