# script: Stepped_tone_log.py
# csv_file: data/stepped_tone_2026-07-20_14-10-21.csv
# samplerate: 48000
# amplitude: 1.0
# output_device: Externe Kopfhörer
# port: /dev/cu.usbserial-1110
# baud: 115200
# tones: [100, 107, 115, 123, 143, 238, 241, 292, 306, 333, 495]
# dwell_s: 4.0
# notes_source: Notes/Baseplate/Baseplate_design.md, Notes/Coldplate/Coldplate.md
# run_timestamp_local: 2026-07-20T14:10:23.568000+02:00
wall_clock,t_rel_s,f_scheduled_hz,tone_index,arduino_t_ms,p2p_0,rms_0,vmax_0,vmin_0,p2p_1,rms_1,vmax_1,vmin_1
2026-07-20T14:10:23.700215+02:00,0.001,100.0,0,451,7.0,1.99,287.0,280.0,5.0,1.51,301.0,296.0
2026-07-20T14:10:23.700399+02:00,0.001,100.0,0,473,4.0,1.14,285.0,281.0,4.0,0.82,300.0,296.0
2026-07-20T14:10:23.700542+02:00,0.001,100.0,0,494,6.0,1.31,287.0,281.0,4.0,1.0,301.0,297.0
2026-07-20T14:10:23.700675+02:00,0.001,100.0,0,515,5.0,1.31,286.0,281.0,4.0,1.08,300.0,296.0
2026-07-20T14:10:23.700806+02:00,0.001,100.0,0,537,5.0,1.19,286.0,281.0,3.0,0.88,300.0,297.0
2026-07-20T14:10:23.700935+02:00,0.001,100.0,0,559,6.0,1.78,286.0,280.0,4.0,1.48,300.0,296.0
2026-07-20T14:10:23.719977+02:00,0.020,100.0,0,581,5.0,1.3,286.0,281.0,5.0,1.0,301.0,296.0
2026-07-20T14:10:23.741354+02:00,0.042,100.0,0,602,13.0,3.34,289.0,276.0,10.0,2.61,302.0,292.0
2026-07-20T14:10:23.761929+02:00,0.062,100.0,0,623,25.0,6.24,297.0,272.0,18.0,5.01,308.0,290.0
2026-07-20T14:10:23.783236+02:00,0.084,100.0,0,644,19.0,5.06,293.0,274.0,15.0,4.09,306.0,291.0
2026-07-20T14:10:23.803931+02:00,0.104,100.0,0,665,16.0,4.05,291.0,275.0,12.0,3.23,304.0,292.0
2026-07-20T14:10:23.825426+02:00,0.126,100.0,0,686,17.0,3.98,292.0,275.0,13.0,3.07,304.0,291.0
2026-07-20T14:10:23.846815+02:00,0.147,100.0,0,708,17.0,4.11,291.0,274.0,14.0,3.21,304.0,290.0
2026-07-20T14:10:23.869461+02:00,0.170,100.0,0,730,21.0,4.76,295.0,274.0,15.0,3.65,306.0,291.0
2026-07-20T14:10:23.890977+02:00,0.191,100.0,0,752,23.0,5.51,295.0,272.0,16.0,4.26,306.0,290.0
