# script: Chirp_sweep_log.py
# csv_file: data/chirp_sweep_2026-07-20_14-24-20.csv
# samplerate: 48000
# amplitude: 1.0
# output_device: Externe Kopfhörer
# port: /dev/cu.usbserial-1110
# baud: 115200
# sweep: {"f0": 20.0, "f1": 20000.0, "duration_s": 40.0, "type": "log"}
# run_timestamp_local: 2026-07-20T14:24:22.190447+02:00
wall_clock,t_rel_s,f_inst_hz,arduino_t_ms,p2p_0,rms_0,vmax_0,vmin_0,p2p_1,rms_1,vmax_1,vmin_1
2026-07-20T14:24:22.306249+02:00,0.001,20.00,432,4.0,0.84,280.0,276.0,3.0,0.77,297.0,294.0
2026-07-20T14:24:22.306495+02:00,0.001,20.00,454,4.0,1.06,281.0,277.0,4.0,0.91,298.0,294.0
2026-07-20T14:24:22.306761+02:00,0.001,20.00,475,3.0,0.78,280.0,277.0,2.0,0.61,297.0,295.0
2026-07-20T14:24:22.307014+02:00,0.001,20.00,496,3.0,0.57,280.0,277.0,3.0,0.59,297.0,294.0
2026-07-20T14:24:22.307260+02:00,0.002,20.01,517,5.0,1.38,281.0,276.0,4.0,1.09,298.0,294.0
2026-07-20T14:24:22.307508+02:00,0.002,20.01,539,5.0,1.2,280.0,275.0,4.0,1.03,297.0,293.0
2026-07-20T14:24:22.329459+02:00,0.024,20.08,561,6.0,1.61,282.0,276.0,5.0,1.32,298.0,293.0
2026-07-20T14:24:22.350884+02:00,0.045,20.16,583,9.0,2.63,282.0,273.0,7.0,2.03,299.0,292.0
2026-07-20T14:24:22.373485+02:00,0.068,20.24,605,4.0,1.01,280.0,276.0,3.0,0.84,297.0,294.0
2026-07-20T14:24:22.394858+02:00,0.089,20.31,627,7.0,2.16,282.0,275.0,6.0,1.72,299.0,293.0
2026-07-20T14:24:22.417191+02:00,0.112,20.39,649,4.0,1.07,280.0,276.0,3.0,0.87,297.0,294.0
2026-07-20T14:24:22.437750+02:00,0.132,20.46,670,4.0,1.19,281.0,277.0,4.0,0.94,298.0,294.0
2026-07-20T14:24:22.459335+02:00,0.154,20.54,691,3.0,0.88,279.0,276.0,3.0,0.73,296.0,293.0
2026-07-20T14:24:22.480950+02:00,0.175,20.62,713,6.0,1.51,281.0,275.0,5.0,1.29,298.0,293.0
2026-07-20T14:24:22.503183+02:00,0.198,20.69,734,4.0,1.04,280.0,276.0,3.0,0.79,297.0,294.0
2026-07-20T14:24:22.522786+02:00,0.217,20.76,755,4.0,1.3,280.0,276.0,4.0,1.05,297.0,293.0
2026-07-20T14:24:22.544262+02:00,0.239,20.84,776,3.0,0.92,279.0,276.0,4.0,0.84,297.0,293.0
2026-07-20T14:24:22.564814+02:00,0.259,20.92,797,3.0,0.83,280.0,277.0,3.0,0.58,297.0,294.0
2026-07-20T14:24:22.586280+02:00,0.281,20.99,818,5.0,1.1,281.0,276.0,3.0,0.91,297.0,294.0
2026-07-20T14:24:22.607859+02:00,0.302,21.07,840,4.0,1.33,281.0,277.0,4.0,1.02,298.0,294.0
2026-07-20T14:24:22.629553+02:00,0.324,21.15,861,2.0,0.84,280.0,278.0,3.0,0.68,298.0,295.0
2026-07-20T14:24:22.650095+02:00,0.345,21.23,882,5.0,1.35,281.0,276.0,4.0,1.14,298.0,294.0
2026-07-20T14:24:22.671265+02:00,0.366,21.30,903,5.0,1.46,280.0,275.0,5.0,1.28,298.0,293.0
2026-07-20T14:24:22.692884+02:00,0.387,21.38,925,4.0,1.14,280.0,276.0,3.0,0.93,297.0,294.0
