# script: Stepped_tone_log.py
# csv_file: data/stepped_tone_2026-07-20_14-25-14.csv
# samplerate: 48000
# amplitude: 1.0
# output_device: Externe Kopfhörer
# port: /dev/cu.usbserial-1110
# baud: 115200
# tones: [100, 107, 115, 123, 143, 238, 241, 292, 306, 333, 495]
# dwell_s: 4.0
# notes_source: Notes/Baseplate/Baseplate_design.md, Notes/Coldplate/Coldplate.md
# run_timestamp_local: 2026-07-20T14:25:16.803202+02:00
wall_clock,t_rel_s,f_scheduled_hz,tone_index,arduino_t_ms,p2p_0,rms_0,vmax_0,vmin_0,p2p_1,rms_1,vmax_1,vmin_1
2026-07-20T14:25:16.937661+02:00,0.001,100.0,0,428,4.0,1.01,280.0,276.0,4.0,0.93,297.0,293.0
2026-07-20T14:25:16.937963+02:00,0.001,100.0,0,449,3.0,0.8,281.0,278.0,2.0,0.68,297.0,295.0
2026-07-20T14:25:16.938191+02:00,0.001,100.0,0,472,4.0,1.28,281.0,277.0,4.0,1.03,298.0,294.0
2026-07-20T14:25:16.938405+02:00,0.001,100.0,0,494,4.0,1.33,280.0,276.0,3.0,1.0,297.0,294.0
2026-07-20T14:25:16.938614+02:00,0.002,100.0,0,516,4.0,1.24,281.0,277.0,4.0,0.99,298.0,294.0
2026-07-20T14:25:16.938817+02:00,0.002,100.0,0,538,4.0,0.87,281.0,277.0,3.0,0.66,298.0,295.0
2026-07-20T14:25:16.940864+02:00,0.004,100.0,0,560,3.0,0.81,280.0,277.0,2.0,0.69,297.0,295.0
2026-07-20T14:25:16.963033+02:00,0.026,100.0,0,582,4.0,0.96,280.0,276.0,3.0,0.74,297.0,294.0
2026-07-20T14:25:16.984707+02:00,0.048,100.0,0,604,25.0,6.47,295.0,270.0,20.0,5.24,309.0,289.0
2026-07-20T14:25:17.006140+02:00,0.069,100.0,0,626,29.0,7.79,291.0,262.0,23.0,6.13,306.0,283.0
2026-07-20T14:25:17.028525+02:00,0.092,100.0,0,648,17.0,5.16,286.0,269.0,14.0,4.13,302.0,288.0
2026-07-20T14:25:17.049025+02:00,0.112,100.0,0,669,12.0,4.5,284.0,272.0,11.0,3.56,301.0,290.0
2026-07-20T14:25:17.071631+02:00,0.135,100.0,0,690,14.0,4.28,286.0,272.0,12.0,3.37,302.0,290.0
2026-07-20T14:25:17.096063+02:00,0.159,100.0,0,712,13.0,4.06,285.0,272.0,11.0,3.26,301.0,290.0
2026-07-20T14:25:17.113607+02:00,0.177,100.0,0,733,15.0,4.97,286.0,271.0,12.0,3.9,302.0,290.0
2026-07-20T14:25:17.134024+02:00,0.197,100.0,0,754,16.0,4.39,286.0,270.0,13.0,3.46,302.0,289.0
2026-07-20T14:25:17.155680+02:00,0.219,100.0,0,775,17.0,4.97,287.0,270.0,13.0,3.91,302.0,289.0
2026-07-20T14:25:17.177160+02:00,0.240,100.0,0,797,18.0,5.46,288.0,270.0,14.0,4.22,303.0,289.0
2026-07-20T14:25:17.198686+02:00,0.262,100.0,0,818,16.0,5.09,286.0,270.0,13.0,4.02,302.0,289.0
2026-07-20T14:25:17.219067+02:00,0.282,100.0,0,839,14.0,4.77,286.0,272.0,12.0,3.7,302.0,290.0
2026-07-20T14:25:17.240626+02:00,0.304,100.0,0,860,18.0,5.06,288.0,270.0,14.0,3.99,303.0,289.0
2026-07-20T14:25:17.260978+02:00,0.324,100.0,0,881,14.0,4.95,286.0,272.0,12.0,3.85,302.0,290.0
2026-07-20T14:25:17.282792+02:00,0.346,100.0,0,902,15.0,4.48,286.0,271.0,12.0,3.48,302.0,290.0
2026-07-20T14:25:17.304110+02:00,0.367,100.0,0,924,16.0,4.99,286.0,270.0,13.0,3.96,302.0,289.0
2026-07-20T14:25:17.329502+02:00,0.393,100.0,0,945,17.0,5.74,287.0,270.0,14.0,4.53,303.0,289.0
2026-07-20T14:25:17.346110+02:00,0.409,100.0,0,966,15.0,4.94,287.0,272.0,12.0,3.88,302.0,290.0
2026-07-20T14:25:17.367863+02:00,0.431,100.0,0,987,15.0,4.91,286.0,271.0,13.0,3.79,302.0,289.0
2026-07-20T14:25:17.390625+02:00,0.454,100.0,0,1009,15.0,4.88,285.0,270.0,12.0,3.84,301.0,289.0
2026-07-20T14:25:17.411668+02:00,0.475,100.0,0,1031,14.0,4.88,286.0,272.0,12.0,3.77,302.0,290.0
2026-07-20T14:25:17.432313+02:00,0.495,100.0,0,1052,12.0,4.25,284.0,272.0,10.0,3.38,301.0,291.0
2026-07-20T14:25:17.455399+02:00,0.518,100.0,0,1074,15.0,4.7,286.0,271.0,12.0,3.7,302.0,290.0
2026-07-20T14:25:17.476382+02:00,0.539,100.0,0,1096,14.0,4.66,285.0,271.0,11.0,3.74,301.0,290.0
2026-07-20T14:25:17.498716+02:00,0.562,100.0,0,1118,16.0,4.75,286.0,270.0,12.0,3.79,301.0,289.0
2026-07-20T14:25:17.519445+02:00,0.583,100.0,0,1139,14.0,4.16,286.0,272.0,11.0,3.24,301.0,290.0
2026-07-20T14:25:17.541695+02:00,0.605,100.0,0,1161,12.0,4.25,284.0,272.0,10.0,3.32,301.0,291.0
2026-07-20T14:25:17.562335+02:00,0.625,100.0,0,1182,11.0,3.97,284.0,273.0,9.0,3.12,301.0,292.0
2026-07-20T14:25:17.585014+02:00,0.648,100.0,0,1204,15.0,4.75,285.0,270.0,12.0,3.71,301.0,289.0
2026-07-20T14:25:17.607021+02:00,0.670,100.0,0,1226,14.0,4.74,286.0,272.0,12.0,3.75,302.0,290.0
2026-07-20T14:25:17.628902+02:00,0.692,100.0,0,1248,14.0,4.59,285.0,271.0,11.0,3.6,301.0,290.0
2026-07-20T14:25:17.649333+02:00,0.712,100.0,0,1269,13.0,4.54,284.0,271.0,10.0,3.56,300.0,290.0
2026-07-20T14:25:17.671864+02:00,0.735,100.0,0,1291,15.0,4.4,286.0,271.0,11.0,3.49,301.0,290.0
2026-07-20T14:25:17.693070+02:00,0.756,100.0,0,1312,13.0,4.83,285.0,272.0,11.0,3.7,301.0,290.0
2026-07-20T14:25:17.722064+02:00,0.785,100.0,0,1334,14.0,4.67,286.0,272.0,11.0,3.65,302.0,291.0
2026-07-20T14:25:17.736373+02:00,0.799,100.0,0,1356,16.0,5.18,286.0,270.0,12.0,4.15,301.0,289.0
2026-07-20T14:25:17.758994+02:00,0.822,100.0,0,1378,17.0,5.24,287.0,270.0,13.0,4.09,302.0,289.0
2026-07-20T14:25:17.782310+02:00,0.845,100.0,0,1400,13.0,4.66,285.0,272.0,11.0,3.59,301.0,290.0
2026-07-20T14:25:17.801768+02:00,0.865,100.0,0,1421,12.0,4.29,284.0,272.0,10.0,3.31,300.0,290.0
2026-07-20T14:25:17.822486+02:00,0.886,100.0,0,1442,15.0,4.88,286.0,271.0,13.0,3.8,302.0,289.0
2026-07-20T14:25:17.844903+02:00,0.908,100.0,0,1464,16.0,5.24,286.0,270.0,14.0,4.15,302.0,288.0
2026-07-20T14:25:17.865241+02:00,0.928,100.0,0,1485,14.0,4.93,285.0,271.0,11.0,3.91,301.0,290.0
2026-07-20T14:25:17.890194+02:00,0.953,100.0,0,1506,13.0,4.31,285.0,272.0,11.0,3.37,301.0,290.0
2026-07-20T14:25:17.907380+02:00,0.970,100.0,0,1527,14.0,5.15,285.0,271.0,12.0,4.06,301.0,289.0
2026-07-20T14:25:17.929909+02:00,0.993,100.0,0,1549,14.0,4.95,286.0,272.0,12.0,3.9,302.0,290.0
2026-07-20T14:25:17.950412+02:00,1.014,100.0,0,1570,14.0,4.7,286.0,272.0,11.0,3.71,302.0,291.0
2026-07-20T14:25:17.971938+02:00,1.035,100.0,0,1591,15.0,4.89,284.0,269.0,13.0,3.87,301.0,288.0
2026-07-20T14:25:17.992395+02:00,1.055,100.0,0,1612,14.0,4.57,286.0,272.0,12.0,3.52,302.0,290.0
2026-07-20T14:25:18.018456+02:00,1.084,100.0,0,1634,14.0,4.43,286.0,272.0,11.0,3.53,302.0,291.0
2026-07-20T14:25:18.035421+02:00,1.098,100.0,0,1655,13.0,4.15,285.0,272.0,10.0,3.24,301.0,291.0
2026-07-20T14:25:18.058187+02:00,1.121,100.0,0,1677,16.0,5.24,286.0,270.0,12.0,4.06,301.0,289.0
2026-07-20T14:25:18.079534+02:00,1.143,100.0,0,1699,13.0,4.49,286.0,273.0,10.0,3.48,302.0,292.0
2026-07-20T14:25:18.102349+02:00,1.165,100.0,0,1721,12.0,4.03,285.0,273.0,10.0,3.15,301.0,291.0
2026-07-20T14:25:18.122511+02:00,1.186,100.0,0,1742,16.0,5.25,287.0,271.0,12.0,4.06,302.0,290.0
2026-07-20T14:25:18.144892+02:00,1.208,100.0,0,1764,13.0,4.41,286.0,273.0,11.0,3.42,302.0,291.0
2026-07-20T14:25:18.165420+02:00,1.228,100.0,0,1785,14.0,4.4,286.0,272.0,11.0,3.4,302.0,291.0
2026-07-20T14:25:18.189890+02:00,1.253,100.0,0,1807,17.0,5.06,288.0,271.0,13.0,4.02,303.0,290.0
2026-07-20T14:25:18.208390+02:00,1.271,100.0,0,1828,14.0,4.89,286.0,272.0,11.0,3.77,301.0,290.0
2026-07-20T14:25:18.229898+02:00,1.293,100.0,0,1849,12.0,4.45,285.0,273.0,10.0,3.53,301.0,291.0
2026-07-20T14:25:18.250396+02:00,1.313,100.0,0,1870,15.0,4.91,287.0,272.0,11.0,3.81,302.0,291.0
2026-07-20T14:25:18.280779+02:00,1.344,100.0,0,1892,16.0,5.2,286.0,270.0,12.0,4.05,301.0,289.0
2026-07-20T14:25:18.294638+02:00,1.358,100.0,0,1914,13.0,4.58,285.0,272.0,12.0,3.67,302.0,290.0
2026-07-20T14:25:18.316958+02:00,1.380,100.0,0,1936,14.0,4.28,285.0,271.0,11.0,3.33,301.0,290.0
2026-07-20T14:25:18.337513+02:00,1.401,100.0,0,1957,15.0,5.07,286.0,271.0,12.0,4.01,302.0,290.0
2026-07-20T14:25:18.359847+02:00,1.423,100.0,0,1979,14.0,4.75,286.0,272.0,11.0,3.69,301.0,290.0
2026-07-20T14:25:18.380650+02:00,1.444,100.0,0,2000,14.0,4.32,285.0,271.0,11.0,3.35,300.0,289.0
2026-07-20T14:25:18.403114+02:00,1.466,100.0,0,2022,16.0,4.89,286.0,270.0,13.0,3.87,302.0,289.0
2026-07-20T14:25:18.425638+02:00,1.489,100.0,0,2044,15.0,4.97,287.0,272.0,11.0,3.85,302.0,291.0
2026-07-20T14:25:18.447008+02:00,1.510,100.0,0,2066,12.0,4.26,285.0,273.0,10.0,3.28,301.0,291.0
2026-07-20T14:25:18.467692+02:00,1.531,100.0,0,2087,13.0,4.4,285.0,272.0,10.0,3.42,301.0,291.0
2026-07-20T14:25:18.489948+02:00,1.553,100.0,0,2109,16.0,5.2,286.0,270.0,12.0,4.0,301.0,289.0
2026-07-20T14:25:18.510453+02:00,1.574,100.0,0,2130,17.0,5.24,288.0,271.0,14.0,4.05,304.0,290.0
2026-07-20T14:25:18.531930+02:00,1.595,100.0,0,2151,15.0,4.51,286.0,271.0,11.0,3.5,301.0,290.0
2026-07-20T14:25:18.553916+02:00,1.617,100.0,0,2172,17.0,5.16,286.0,269.0,14.0,4.08,302.0,288.0
2026-07-20T14:25:18.575092+02:00,1.638,100.0,0,2194,14.0,4.47,286.0,272.0,12.0,3.58,302.0,290.0
2026-07-20T14:25:18.595509+02:00,1.659,100.0,0,2215,12.0,3.88,285.0,273.0,10.0,3.05,301.0,291.0
2026-07-20T14:25:18.617089+02:00,1.680,100.0,0,2236,15.0,4.32,287.0,272.0,11.0,3.37,302.0,291.0
2026-07-20T14:25:18.637406+02:00,1.700,100.0,0,2257,13.0,4.43,285.0,272.0,11.0,3.5,301.0,290.0
2026-07-20T14:25:18.663548+02:00,1.727,100.0,0,2279,13.0,4.49,286.0,273.0,11.0,3.54,302.0,291.0
2026-07-20T14:25:18.680550+02:00,1.744,100.0,0,2300,14.0,4.32,286.0,272.0,11.0,3.49,301.0,290.0
2026-07-20T14:25:18.703113+02:00,1.766,100.0,0,2322,16.0,5.12,286.0,270.0,13.0,4.05,302.0,289.0
2026-07-20T14:25:18.724644+02:00,1.788,100.0,0,2344,14.0,4.67,286.0,272.0,11.0,3.67,301.0,290.0
2026-07-20T14:25:18.747157+02:00,1.810,100.0,0,2366,13.0,4.22,284.0,271.0,11.0,3.27,300.0,289.0
