# script: Chirp_sweep_log.py
# csv_file: data/chirp_sweep_2026-07-20_14-21-20.csv
# samplerate: 48000
# amplitude: 1.0
# output_device: Externe Kopfhörer
# port: /dev/cu.usbserial-1110
# baud: 115200
# sweep: {"f0": 20.0, "f1": 20000.0, "duration_s": 40.0, "type": "log"}
# run_timestamp_local: 2026-07-20T14:21:22.546650+02:00
wall_clock,t_rel_s,f_inst_hz,arduino_t_ms,p2p_0,rms_0,vmax_0,vmin_0,p2p_1,rms_1,vmax_1,vmin_1
2026-07-20T14:21:22.691459+02:00,0.002,20.01,429,7.0,1.46,278.0,271.0,6.0,1.18,299.0,293.0
2026-07-20T14:21:22.691736+02:00,0.002,20.01,451,5.0,1.27,277.0,272.0,4.0,1.06,298.0,294.0
2026-07-20T14:21:22.691933+02:00,0.002,20.01,473,6.0,1.54,277.0,271.0,5.0,1.15,298.0,293.0
2026-07-20T14:21:22.692136+02:00,0.002,20.01,494,7.0,1.96,277.0,270.0,6.0,1.51,298.0,292.0
2026-07-20T14:21:22.692451+02:00,0.003,20.01,515,7.0,1.81,278.0,271.0,6.0,1.46,299.0,293.0
2026-07-20T14:21:22.692714+02:00,0.003,20.01,537,8.0,1.97,280.0,272.0,7.0,1.53,300.0,293.0
2026-07-20T14:21:22.692929+02:00,0.003,20.01,558,7.0,1.48,277.0,270.0,5.0,0.98,298.0,293.0
2026-07-20T14:21:22.699013+02:00,0.009,20.03,579,5.0,1.36,277.0,272.0,4.0,1.1,298.0,294.0
2026-07-20T14:21:22.720481+02:00,0.031,20.11,600,4.0,0.96,277.0,273.0,3.0,0.76,298.0,295.0
2026-07-20T14:21:22.741001+02:00,0.051,20.18,621,9.0,2.41,278.0,269.0,7.0,1.88,299.0,292.0
2026-07-20T14:21:22.762742+02:00,0.073,20.25,642,5.0,1.29,276.0,271.0,4.0,0.99,297.0,293.0
2026-07-20T14:21:22.783971+02:00,0.094,20.33,664,4.0,1.0,276.0,272.0,4.0,0.82,297.0,293.0
2026-07-20T14:21:22.807305+02:00,0.118,20.41,685,6.0,1.53,278.0,272.0,5.0,1.25,299.0,294.0
2026-07-20T14:21:22.826056+02:00,0.136,20.48,706,4.0,0.95,276.0,272.0,3.0,0.78,297.0,294.0
2026-07-20T14:21:22.847749+02:00,0.158,20.55,727,8.0,2.27,278.0,270.0,7.0,1.75,299.0,292.0
2026-07-20T14:21:22.869877+02:00,0.180,20.63,749,7.0,1.75,278.0,271.0,5.0,1.35,298.0,293.0
2026-07-20T14:21:22.891560+02:00,0.202,20.71,771,7.0,1.56,279.0,272.0,6.0,1.24,299.0,293.0
2026-07-20T14:21:22.911954+02:00,0.222,20.78,792,5.0,1.57,277.0,272.0,4.0,1.22,298.0,294.0
2026-07-20T14:21:22.933538+02:00,0.244,20.86,813,4.0,1.0,276.0,272.0,3.0,0.83,297.0,294.0
2026-07-20T14:21:22.957688+02:00,0.268,20.95,835,6.0,1.69,277.0,271.0,5.0,1.39,298.0,293.0
