# script: Stepped_tone_log.py
# csv_file: data/stepped_tone_2026-07-20_14-23-05.csv
# samplerate: 48000
# amplitude: 1.0
# output_device: Externe Kopfhörer
# port: /dev/cu.usbserial-1110
# baud: 115200
# tones: [100, 107, 115, 123, 143, 238, 241, 292, 306, 333, 495]
# dwell_s: 4.0
# notes_source: Notes/Baseplate/Baseplate_design.md, Notes/Coldplate/Coldplate.md
# run_timestamp_local: 2026-07-20T14:23:07.721233+02:00
wall_clock,t_rel_s,f_scheduled_hz,tone_index,arduino_t_ms,p2p_0,rms_0,vmax_0,vmin_0,p2p_1,rms_1,vmax_1,vmin_1
2026-07-20T14:23:07.844041+02:00,0.002,100.0,0,430,5.0,1.37,281.0,276.0,4.0,1.08,298.0,294.0
2026-07-20T14:23:07.844195+02:00,0.002,100.0,0,452,4.0,1.27,280.0,276.0,3.0,1.01,297.0,294.0
2026-07-20T14:23:07.844306+02:00,0.002,100.0,0,473,6.0,1.72,281.0,275.0,5.0,1.34,298.0,293.0
2026-07-20T14:23:07.844412+02:00,0.002,100.0,0,494,5.0,1.34,280.0,275.0,4.0,0.98,297.0,293.0
2026-07-20T14:23:07.844516+02:00,0.002,100.0,0,515,5.0,1.01,281.0,276.0,3.0,0.76,297.0,294.0
2026-07-20T14:23:07.844619+02:00,0.002,100.0,0,536,9.0,2.18,283.0,274.0,7.0,1.6,299.0,292.0
2026-07-20T14:23:07.852144+02:00,0.010,100.0,0,557,8.0,2.07,283.0,275.0,6.0,1.54,299.0,293.0
2026-07-20T14:23:07.873840+02:00,0.032,100.0,0,579,24.0,4.26,283.0,259.0,19.0,3.31,300.0,281.0
2026-07-20T14:23:07.895215+02:00,0.053,100.0,0,600,82.0,19.65,318.0,236.0,63.0,14.85,326.0,263.0
2026-07-20T14:23:07.916714+02:00,0.074,100.0,0,622,59.0,16.66,307.0,248.0,44.0,12.54,317.0,273.0
2026-07-20T14:23:07.939260+02:00,0.097,100.0,0,644,70.0,21.11,314.0,244.0,53.0,15.69,322.0,269.0
2026-07-20T14:23:07.959767+02:00,0.118,100.0,0,665,63.0,19.37,311.0,248.0,47.0,14.47,320.0,273.0
2026-07-20T14:23:07.982477+02:00,0.140,100.0,0,687,60.0,18.36,309.0,249.0,45.0,13.7,319.0,274.0
2026-07-20T14:23:08.003991+02:00,0.162,100.0,0,709,65.0,19.07,312.0,247.0,47.0,14.31,320.0,273.0
2026-07-20T14:23:08.026322+02:00,0.184,100.0,0,731,59.0,17.83,308.0,249.0,42.0,13.27,317.0,275.0
