# script: Chirp_sweep_log.py
# csv_file: data/chirp_sweep_2026-07-20_14-06-10.csv
# samplerate: 48000
# amplitude: 1.0
# output_device: Externe Kopfhörer
# port: /dev/cu.usbserial-1110
# baud: 115200
# sweep: {"f0": 20.0, "f1": 20000.0, "duration_s": 40.0, "type": "log"}
# run_timestamp_local: 2026-07-20T14:06:12.533429+02:00
wall_clock,t_rel_s,f_inst_hz,arduino_t_ms,p2p_0,rms_0,vmax_0,vmin_0,p2p_1,rms_1,vmax_1,vmin_1
2026-07-20T14:06:12.738719+02:00,0.001,20.00,429,5.0,1.11,287.0,282.0,4.0,0.84,301.0,297.0
2026-07-20T14:06:12.738918+02:00,0.001,20.00,451,5.0,1.4,286.0,281.0,4.0,1.09,300.0,296.0
2026-07-20T14:06:12.739078+02:00,0.001,20.00,473,4.0,1.35,286.0,282.0,4.0,1.12,301.0,297.0
2026-07-20T14:06:12.739229+02:00,0.001,20.00,495,5.0,1.18,286.0,281.0,4.0,0.94,301.0,297.0
2026-07-20T14:06:12.739338+02:00,0.001,20.01,517,7.0,1.51,287.0,280.0,5.0,1.09,301.0,296.0
2026-07-20T14:06:12.739415+02:00,0.002,20.01,539,5.0,1.11,286.0,281.0,3.0,0.97,300.0,297.0
2026-07-20T14:06:12.739492+02:00,0.002,20.01,561,4.0,0.96,286.0,282.0,3.0,0.81,300.0,297.0
2026-07-20T14:06:12.739566+02:00,0.002,20.01,582,4.0,0.93,287.0,283.0,3.0,0.78,301.0,298.0
2026-07-20T14:06:12.739647+02:00,0.002,20.01,603,4.0,1.08,286.0,282.0,3.0,0.87,300.0,297.0
2026-07-20T14:06:12.739725+02:00,0.002,20.01,625,4.0,0.94,286.0,282.0,3.0,0.77,300.0,297.0
2026-07-20T14:06:12.753069+02:00,0.015,20.05,646,6.0,1.43,286.0,280.0,4.0,1.14,300.0,296.0
2026-07-20T14:06:12.773744+02:00,0.036,20.12,667,7.0,1.81,288.0,281.0,5.0,1.39,302.0,297.0
2026-07-20T14:06:12.795359+02:00,0.058,20.20,688,7.0,1.9,287.0,280.0,5.0,1.41,300.0,295.0
2026-07-20T14:06:12.816768+02:00,0.079,20.27,710,6.0,1.21,288.0,282.0,4.0,0.94,301.0,297.0
2026-07-20T14:06:12.839390+02:00,0.102,20.35,732,5.0,1.14,287.0,282.0,4.0,0.93,301.0,297.0
2026-07-20T14:06:12.860653+02:00,0.123,20.43,753,5.0,1.13,287.0,282.0,4.0,0.91,301.0,297.0
2026-07-20T14:06:12.881257+02:00,0.143,20.50,774,4.0,0.91,286.0,282.0,3.0,0.63,300.0,297.0
2026-07-20T14:06:12.902781+02:00,0.165,20.58,796,4.0,0.93,286.0,282.0,3.0,0.81,300.0,297.0
2026-07-20T14:06:12.924149+02:00,0.186,20.65,817,5.0,0.95,287.0,282.0,3.0,0.81,300.0,297.0
2026-07-20T14:06:12.944806+02:00,0.207,20.73,838,6.0,1.37,287.0,281.0,5.0,1.0,301.0,296.0
2026-07-20T14:06:12.966393+02:00,0.229,20.81,859,5.0,1.28,286.0,281.0,4.0,0.98,300.0,296.0
2026-07-20T14:06:12.987743+02:00,0.250,20.88,881,5.0,1.05,286.0,281.0,4.0,0.83,300.0,296.0
2026-07-20T14:06:13.009215+02:00,0.271,20.96,902,4.0,1.05,286.0,282.0,3.0,0.96,300.0,297.0
2026-07-20T14:06:13.029714+02:00,0.292,21.03,923,6.0,1.4,287.0,281.0,5.0,1.19,301.0,296.0
2026-07-20T14:06:13.051377+02:00,0.314,21.11,944,5.0,1.36,286.0,281.0,5.0,1.04,301.0,296.0
2026-07-20T14:06:13.072766+02:00,0.335,21.19,966,5.0,1.37,287.0,282.0,4.0,1.12,301.0,297.0
2026-07-20T14:06:13.095551+02:00,0.358,21.27,988,5.0,1.09,287.0,282.0,4.0,0.93,301.0,297.0
2026-07-20T14:06:13.117097+02:00,0.379,21.35,1010,5.0,1.09,286.0,281.0,4.0,0.94,300.0,296.0
2026-07-20T14:06:13.139584+02:00,0.402,21.44,1032,6.0,1.2,287.0,281.0,4.0,0.94,301.0,297.0
2026-07-20T14:06:13.161083+02:00,0.423,21.52,1054,5.0,1.28,287.0,282.0,3.0,0.89,300.0,297.0
2026-07-20T14:06:13.186457+02:00,0.449,21.61,1076,5.0,1.17,286.0,281.0,3.0,0.86,300.0,297.0
2026-07-20T14:06:13.204104+02:00,0.466,21.68,1097,4.0,1.1,286.0,282.0,3.0,0.92,300.0,297.0
2026-07-20T14:06:13.226426+02:00,0.489,21.76,1119,7.0,1.43,288.0,281.0,5.0,1.23,301.0,296.0
2026-07-20T14:06:13.247033+02:00,0.509,21.84,1140,6.0,1.43,287.0,281.0,5.0,1.11,301.0,296.0
2026-07-20T14:06:13.269589+02:00,0.532,21.92,1162,5.0,1.27,286.0,281.0,3.0,0.94,300.0,297.0
2026-07-20T14:06:13.291124+02:00,0.553,22.01,1184,4.0,1.04,285.0,281.0,3.0,0.87,300.0,297.0
2026-07-20T14:06:13.313489+02:00,0.576,22.09,1206,4.0,1.02,286.0,282.0,3.0,0.76,300.0,297.0
2026-07-20T14:06:13.334129+02:00,0.596,22.17,1227,4.0,1.08,286.0,282.0,4.0,0.98,301.0,297.0
2026-07-20T14:06:13.359617+02:00,0.622,22.27,1249,7.0,1.45,286.0,279.0,4.0,1.15,300.0,296.0
2026-07-20T14:06:13.378376+02:00,0.641,22.34,1271,5.0,1.42,286.0,281.0,3.0,1.04,300.0,297.0
2026-07-20T14:06:13.400605+02:00,0.663,22.43,1293,5.0,1.11,287.0,282.0,4.0,0.86,301.0,297.0
2026-07-20T14:06:13.422160+02:00,0.684,22.51,1315,5.0,1.43,286.0,281.0,4.0,1.09,301.0,297.0
2026-07-20T14:06:13.445208+02:00,0.707,22.60,1336,4.0,0.94,286.0,282.0,4.0,0.76,301.0,297.0
2026-07-20T14:06:13.469870+02:00,0.732,22.70,1357,4.0,0.96,286.0,282.0,3.0,0.75,300.0,297.0
2026-07-20T14:06:13.487286+02:00,0.749,22.76,1379,5.0,1.28,287.0,282.0,4.0,0.96,301.0,297.0
2026-07-20T14:06:13.508223+02:00,0.770,22.85,1401,5.0,1.02,287.0,282.0,4.0,0.79,301.0,297.0
2026-07-20T14:06:13.530639+02:00,0.793,22.93,1423,5.0,1.23,287.0,282.0,4.0,0.91,301.0,297.0
2026-07-20T14:06:13.552174+02:00,0.814,23.02,1445,5.0,1.0,285.0,280.0,4.0,0.76,300.0,296.0
2026-07-20T14:06:13.573658+02:00,0.836,23.11,1466,6.0,1.48,287.0,281.0,5.0,1.14,301.0,296.0
2026-07-20T14:06:13.598167+02:00,0.860,23.20,1487,4.0,1.03,286.0,282.0,4.0,0.94,301.0,297.0
2026-07-20T14:06:13.620844+02:00,0.883,23.29,1509,3.0,0.89,286.0,283.0,3.0,0.71,301.0,298.0
2026-07-20T14:06:13.637172+02:00,0.899,23.36,1530,5.0,1.18,286.0,281.0,4.0,0.92,300.0,296.0
2026-07-20T14:06:13.658521+02:00,0.921,23.45,1551,5.0,1.0,287.0,282.0,4.0,0.82,301.0,297.0
2026-07-20T14:06:13.679210+02:00,0.941,23.53,1572,5.0,1.2,287.0,282.0,4.0,0.91,301.0,297.0
2026-07-20T14:06:13.701660+02:00,0.964,23.62,1594,5.0,1.09,287.0,282.0,4.0,0.83,301.0,297.0
2026-07-20T14:06:13.723302+02:00,0.986,23.71,1616,5.0,1.19,286.0,281.0,5.0,0.99,301.0,296.0
2026-07-20T14:06:13.745732+02:00,1.008,23.80,1638,4.0,0.92,286.0,282.0,3.0,0.74,300.0,297.0
2026-07-20T14:06:13.767151+02:00,1.029,23.89,1659,5.0,1.35,286.0,281.0,5.0,1.09,301.0,296.0
2026-07-20T14:06:13.792016+02:00,1.054,23.99,1681,4.0,0.98,286.0,282.0,3.0,0.67,301.0,298.0
2026-07-20T14:06:13.810498+02:00,1.073,24.07,1703,4.0,1.1,286.0,282.0,3.0,0.87,300.0,297.0
2026-07-20T14:06:13.832723+02:00,1.095,24.16,1725,3.0,0.74,286.0,283.0,3.0,0.65,301.0,298.0
2026-07-20T14:06:13.853159+02:00,1.115,24.25,1746,6.0,1.27,287.0,281.0,4.0,1.01,301.0,297.0
2026-07-20T14:06:13.877428+02:00,1.140,24.35,1768,5.0,1.25,286.0,281.0,3.0,0.89,300.0,297.0
2026-07-20T14:06:13.900225+02:00,1.162,24.45,1789,5.0,1.06,286.0,281.0,4.0,0.9,301.0,297.0
2026-07-20T14:06:13.917693+02:00,1.180,24.52,1810,4.0,1.11,286.0,282.0,4.0,0.9,301.0,297.0
2026-07-20T14:06:13.938215+02:00,1.200,24.61,1831,4.0,0.74,286.0,282.0,2.0,0.55,300.0,298.0
2026-07-20T14:06:13.965530+02:00,1.228,24.72,1853,6.0,1.41,288.0,282.0,5.0,1.11,302.0,297.0
2026-07-20T14:06:13.982426+02:00,1.245,24.80,1875,6.0,1.68,288.0,282.0,4.0,1.27,302.0,298.0
2026-07-20T14:06:14.004814+02:00,1.267,24.89,1897,6.0,1.16,288.0,282.0,4.0,0.93,302.0,298.0
2026-07-20T14:06:14.030417+02:00,1.293,25.00,1920,5.0,1.14,287.0,282.0,3.0,0.95,301.0,298.0
2026-07-20T14:06:14.050240+02:00,1.312,25.09,1942,5.0,1.21,287.0,282.0,4.0,0.94,301.0,297.0
2026-07-20T14:06:14.071178+02:00,1.333,25.18,1964,5.0,1.3,287.0,282.0,4.0,0.98,302.0,298.0
2026-07-20T14:06:14.092793+02:00,1.355,25.27,1985,3.0,0.78,285.0,282.0,3.0,0.67,301.0,298.0
2026-07-20T14:06:14.114446+02:00,1.377,25.37,2007,6.0,1.39,286.0,280.0,4.0,1.07,301.0,297.0
2026-07-20T14:06:14.136831+02:00,1.399,25.47,2029,6.0,1.33,287.0,281.0,5.0,1.09,302.0,297.0
2026-07-20T14:06:14.158337+02:00,1.421,25.56,2051,4.0,1.06,287.0,283.0,4.0,0.8,302.0,298.0
2026-07-20T14:06:14.178895+02:00,1.441,25.65,2072,4.0,1.04,286.0,282.0,4.0,0.81,301.0,297.0
2026-07-20T14:06:14.202295+02:00,1.464,25.76,2094,5.0,1.38,286.0,281.0,5.0,1.08,301.0,296.0
2026-07-20T14:06:14.221941+02:00,1.484,25.84,2115,5.0,1.03,286.0,281.0,4.0,0.78,301.0,297.0
2026-07-20T14:06:14.243257+02:00,1.505,25.94,2136,5.0,1.44,287.0,282.0,4.0,1.02,301.0,297.0
2026-07-20T14:06:14.266364+02:00,1.529,26.04,2157,4.0,1.03,286.0,282.0,2.0,0.79,300.0,298.0
2026-07-20T14:06:14.286490+02:00,1.549,26.13,2179,4.0,1.02,286.0,282.0,4.0,0.96,301.0,297.0
2026-07-20T14:06:14.307953+02:00,1.570,26.23,2201,5.0,1.23,287.0,282.0,4.0,0.89,301.0,297.0
2026-07-20T14:06:14.330303+02:00,1.592,26.33,2223,4.0,1.07,286.0,282.0,4.0,0.85,301.0,297.0
2026-07-20T14:06:14.350854+02:00,1.613,26.42,2244,4.0,1.14,285.0,281.0,4.0,0.9,300.0,296.0
2026-07-20T14:06:14.373735+02:00,1.636,26.53,2266,4.0,0.97,286.0,282.0,3.0,0.79,300.0,297.0
2026-07-20T14:06:14.395133+02:00,1.657,26.63,2288,3.0,0.84,286.0,283.0,3.0,0.74,301.0,298.0
2026-07-20T14:06:14.417509+02:00,1.680,26.73,2310,4.0,1.15,286.0,282.0,4.0,0.91,301.0,297.0
2026-07-20T14:06:14.442657+02:00,1.705,26.85,2331,4.0,0.79,285.0,281.0,3.0,0.73,300.0,297.0
2026-07-20T14:06:14.460391+02:00,1.723,26.93,2353,4.0,1.0,286.0,282.0,4.0,0.91,301.0,297.0
2026-07-20T14:06:14.480954+02:00,1.743,27.02,2374,5.0,1.25,286.0,281.0,4.0,0.99,301.0,297.0
2026-07-20T14:06:14.503085+02:00,1.765,27.13,2395,5.0,1.34,286.0,281.0,4.0,1.08,301.0,297.0
2026-07-20T14:06:14.523865+02:00,1.786,27.23,2416,4.0,0.99,286.0,282.0,3.0,0.76,300.0,297.0
2026-07-20T14:06:14.548985+02:00,1.811,27.34,2437,6.0,1.39,287.0,281.0,4.0,1.05,301.0,297.0
2026-07-20T14:06:14.564834+02:00,1.827,27.42,2458,3.0,0.85,286.0,283.0,3.0,0.73,301.0,298.0
2026-07-20T14:06:14.587566+02:00,1.850,27.53,2480,5.0,1.28,287.0,282.0,4.0,1.06,301.0,297.0
2026-07-20T14:06:14.609075+02:00,1.871,27.63,2502,6.0,1.33,287.0,281.0,4.0,1.01,301.0,297.0
2026-07-20T14:06:14.636334+02:00,1.899,27.76,2524,7.0,1.54,287.0,280.0,5.0,1.18,301.0,296.0
2026-07-20T14:06:14.653106+02:00,1.915,27.84,2546,4.0,1.06,286.0,282.0,4.0,0.91,301.0,297.0
2026-07-20T14:06:14.674555+02:00,1.937,27.94,2567,4.0,1.08,286.0,282.0,4.0,0.96,301.0,297.0
2026-07-20T14:06:14.695033+02:00,1.957,28.04,2588,6.0,1.52,287.0,281.0,5.0,1.09,301.0,296.0
2026-07-20T14:06:14.717566+02:00,1.980,28.15,2610,5.0,1.2,286.0,281.0,4.0,0.94,301.0,297.0
2026-07-20T14:06:14.739044+02:00,2.001,28.26,2632,4.0,1.07,286.0,282.0,4.0,0.91,301.0,297.0
2026-07-20T14:06:14.761510+02:00,2.024,28.37,2654,4.0,1.16,286.0,282.0,4.0,0.92,301.0,297.0
2026-07-20T14:06:14.782062+02:00,2.044,28.47,2675,5.0,1.25,286.0,281.0,3.0,1.01,300.0,297.0
2026-07-20T14:06:14.804510+02:00,2.067,28.58,2697,3.0,0.81,285.0,282.0,3.0,0.7,300.0,297.0
2026-07-20T14:06:14.830729+02:00,2.093,28.71,2718,5.0,0.98,286.0,281.0,3.0,0.77,300.0,297.0
2026-07-20T14:06:14.846517+02:00,2.109,28.79,2739,4.0,1.19,286.0,282.0,4.0,0.83,301.0,297.0
2026-07-20T14:06:14.871409+02:00,2.134,28.91,2760,5.0,1.27,286.0,281.0,4.0,0.94,300.0,296.0
2026-07-20T14:06:14.889437+02:00,2.152,29.00,2782,5.0,0.94,286.0,281.0,3.0,0.81,300.0,297.0
2026-07-20T14:06:14.915682+02:00,2.178,29.13,2803,4.0,0.92,286.0,282.0,3.0,0.74,300.0,297.0
2026-07-20T14:06:14.931460+02:00,2.194,29.21,2824,4.0,1.17,286.0,282.0,4.0,0.99,301.0,297.0
2026-07-20T14:06:14.952960+02:00,2.215,29.32,2845,5.0,1.3,286.0,281.0,3.0,0.99,300.0,297.0
2026-07-20T14:06:14.974648+02:00,2.237,29.43,2867,6.0,1.42,286.0,280.0,5.0,1.14,300.0,295.0
2026-07-20T14:06:14.996150+02:00,2.258,29.54,2889,5.0,1.42,286.0,281.0,4.0,1.08,300.0,296.0
2026-07-20T14:06:15.018533+02:00,2.281,29.65,2911,4.0,1.06,286.0,282.0,3.0,0.82,300.0,297.0
2026-07-20T14:06:15.042253+02:00,2.304,29.78,2932,4.0,0.91,286.0,282.0,3.0,0.72,300.0,297.0
2026-07-20T14:06:15.061584+02:00,2.324,29.88,2954,4.0,1.11,285.0,281.0,4.0,0.87,300.0,296.0
2026-07-20T14:06:15.082078+02:00,2.344,29.98,2975,5.0,1.31,286.0,281.0,5.0,1.02,301.0,296.0
2026-07-20T14:06:15.104404+02:00,2.367,30.10,2997,5.0,1.24,287.0,282.0,4.0,1.04,301.0,297.0
2026-07-20T14:06:15.124965+02:00,2.387,30.20,3018,7.0,1.43,287.0,280.0,5.0,1.11,301.0,296.0
2026-07-20T14:06:15.146491+02:00,2.409,30.32,3039,5.0,1.18,286.0,281.0,3.0,0.81,300.0,297.0
2026-07-20T14:06:15.171655+02:00,2.434,30.45,3060,5.0,1.01,286.0,281.0,4.0,0.86,301.0,297.0
2026-07-20T14:06:15.189489+02:00,2.452,30.54,3082,4.0,0.99,286.0,282.0,4.0,0.8,301.0,297.0
2026-07-20T14:06:15.215539+02:00,2.478,30.68,3103,4.0,1.26,286.0,282.0,4.0,1.07,301.0,297.0
2026-07-20T14:06:15.231477+02:00,2.494,30.76,3124,6.0,1.2,287.0,281.0,4.0,0.89,301.0,297.0
2026-07-20T14:06:15.254004+02:00,2.516,30.88,3145,3.0,0.71,285.0,282.0,2.0,0.58,299.0,297.0
2026-07-20T14:06:15.274759+02:00,2.537,31.00,3167,5.0,1.15,287.0,282.0,4.0,0.93,301.0,297.0
2026-07-20T14:06:15.297286+02:00,2.559,31.12,3189,4.0,1.01,286.0,282.0,2.0,0.8,300.0,298.0
2026-07-20T14:06:15.318577+02:00,2.581,31.23,3211,5.0,0.98,286.0,281.0,2.0,0.72,299.0,297.0
2026-07-20T14:06:15.339221+02:00,2.601,31.34,3232,4.0,0.89,286.0,282.0,3.0,0.64,300.0,297.0
2026-07-20T14:06:15.361690+02:00,2.624,31.46,3254,5.0,1.15,287.0,282.0,5.0,1.02,302.0,297.0
2026-07-20T14:06:15.383043+02:00,2.645,31.58,3276,5.0,1.28,286.0,281.0,4.0,0.97,301.0,297.0
2026-07-20T14:06:15.405539+02:00,2.668,31.70,3298,7.0,1.34,287.0,280.0,5.0,1.04,301.0,296.0
2026-07-20T14:06:15.426192+02:00,2.688,31.82,3319,5.0,1.2,286.0,281.0,4.0,0.94,301.0,297.0
2026-07-20T14:06:15.448743+02:00,2.711,31.94,3341,6.0,1.31,288.0,282.0,5.0,1.13,302.0,297.0
2026-07-20T14:06:15.469076+02:00,2.731,32.05,3362,5.0,1.11,286.0,281.0,3.0,0.78,300.0,297.0
2026-07-20T14:06:15.491660+02:00,2.754,32.18,3384,5.0,1.05,286.0,281.0,3.0,0.84,300.0,297.0
2026-07-20T14:06:15.513823+02:00,2.776,32.30,3405,6.0,1.24,288.0,282.0,4.0,1.04,301.0,297.0
2026-07-20T14:06:15.533627+02:00,2.796,32.41,3426,5.0,1.33,287.0,282.0,4.0,1.06,301.0,297.0
2026-07-20T14:06:15.554097+02:00,2.816,32.53,3447,5.0,1.05,286.0,281.0,2.0,0.76,299.0,297.0
2026-07-20T14:06:15.576822+02:00,2.839,32.66,3469,4.0,1.09,286.0,282.0,3.0,0.82,300.0,297.0
2026-07-20T14:06:15.598182+02:00,2.860,32.78,3491,3.0,0.86,286.0,283.0,2.0,0.69,300.0,298.0
2026-07-20T14:06:15.620779+02:00,2.883,32.90,3513,3.0,0.86,286.0,283.0,3.0,0.77,301.0,298.0
2026-07-20T14:06:15.641219+02:00,2.903,33.02,3534,4.0,0.94,285.0,281.0,3.0,0.73,300.0,297.0
2026-07-20T14:06:15.668161+02:00,2.930,33.17,3556,6.0,1.17,286.0,280.0,5.0,0.97,301.0,296.0
2026-07-20T14:06:15.684109+02:00,2.946,33.27,3577,4.0,0.96,286.0,282.0,3.0,0.66,300.0,297.0
2026-07-20T14:06:15.705554+02:00,2.968,33.39,3598,5.0,0.99,286.0,281.0,4.0,0.8,300.0,296.0
2026-07-20T14:06:15.728076+02:00,2.990,33.52,3619,4.0,1.09,285.0,281.0,4.0,0.85,300.0,296.0
2026-07-20T14:06:15.747658+02:00,3.010,33.63,3640,5.0,1.11,287.0,282.0,3.0,0.84,300.0,297.0
2026-07-20T14:06:15.768101+02:00,3.030,33.75,3661,8.0,1.92,289.0,281.0,7.0,1.57,303.0,296.0
2026-07-20T14:06:15.790866+02:00,3.053,33.89,3683,6.0,1.4,287.0,281.0,5.0,1.18,301.0,296.0
2026-07-20T14:06:15.815306+02:00,3.077,34.03,3705,4.0,0.92,285.0,281.0,3.0,0.78,300.0,297.0
2026-07-20T14:06:15.834705+02:00,3.097,34.14,3727,6.0,1.45,288.0,282.0,4.0,1.11,301.0,297.0
2026-07-20T14:06:15.856752+02:00,3.119,34.27,3749,4.0,1.02,285.0,281.0,3.0,0.71,300.0,297.0
2026-07-20T14:06:15.877599+02:00,3.140,34.40,3770,5.0,1.15,287.0,282.0,4.0,0.95,301.0,297.0
