# script: Stepped_tone_log.py
# csv_file: data/stepped_tone_2026-07-20_14-07-10.csv
# samplerate: 48000
# amplitude: 1.0
# output_device: Externe Kopfhörer
# port: /dev/cu.usbserial-1110
# baud: 115200
# tones: [100, 107, 115, 123, 143, 238, 241, 292, 306, 333, 495]
# dwell_s: 4.0
# notes_source: Notes/Baseplate/Baseplate_design.md, Notes/Coldplate/Coldplate.md
# run_timestamp_local: 2026-07-20T14:07:12.548114+02:00
wall_clock,t_rel_s,f_scheduled_hz,tone_index,arduino_t_ms,p2p_0,rms_0,vmax_0,vmin_0,p2p_1,rms_1,vmax_1,vmin_1
2026-07-20T14:07:12.678513+02:00,0.001,100.0,0,430,4.0,1.01,286.0,282.0,3.0,0.83,300.0,297.0
2026-07-20T14:07:12.678818+02:00,0.001,100.0,0,452,7.0,1.64,288.0,281.0,5.0,1.23,302.0,297.0
2026-07-20T14:07:12.679142+02:00,0.002,100.0,0,473,5.0,1.16,287.0,282.0,4.0,0.9,301.0,297.0
2026-07-20T14:07:12.679414+02:00,0.002,100.0,0,494,5.0,0.98,286.0,281.0,3.0,0.82,300.0,297.0
2026-07-20T14:07:12.679641+02:00,0.002,100.0,0,515,5.0,1.11,287.0,282.0,3.0,0.87,301.0,298.0
2026-07-20T14:07:12.679854+02:00,0.002,100.0,0,537,4.0,1.05,287.0,283.0,3.0,0.87,301.0,298.0
2026-07-20T14:07:12.682183+02:00,0.005,100.0,0,558,6.0,1.05,287.0,281.0,4.0,0.71,301.0,297.0
2026-07-20T14:07:12.702717+02:00,0.025,100.0,0,579,6.0,1.51,286.0,280.0,5.0,1.24,301.0,296.0
2026-07-20T14:07:12.724196+02:00,0.047,100.0,0,600,51.0,12.3,310.0,259.0,39.0,9.45,318.0,279.0
2026-07-20T14:07:12.744819+02:00,0.067,100.0,0,621,47.0,11.95,313.0,266.0,36.0,9.24,321.0,285.0
2026-07-20T14:07:12.774323+02:00,0.097,100.0,0,642,44.0,11.4,312.0,268.0,34.0,8.79,320.0,286.0
2026-07-20T14:07:12.786649+02:00,0.109,100.0,0,663,42.0,10.84,308.0,266.0,32.0,8.34,317.0,285.0
2026-07-20T14:07:12.808210+02:00,0.131,100.0,0,684,45.0,10.96,309.0,264.0,33.0,8.4,317.0,284.0
2026-07-20T14:07:12.829622+02:00,0.152,100.0,0,705,42.0,10.09,308.0,266.0,32.0,7.74,317.0,285.0
2026-07-20T14:07:12.851505+02:00,0.174,100.0,0,727,41.0,10.01,308.0,267.0,31.0,7.75,317.0,286.0
2026-07-20T14:07:12.872724+02:00,0.195,100.0,0,749,40.0,9.86,306.0,266.0,30.0,7.63,315.0,285.0
2026-07-20T14:07:12.895096+02:00,0.218,100.0,0,771,44.0,10.09,308.0,264.0,33.0,7.8,317.0,284.0
2026-07-20T14:07:12.915770+02:00,0.238,100.0,0,792,40.0,10.0,306.0,266.0,31.0,7.75,316.0,285.0
2026-07-20T14:07:12.937057+02:00,0.260,100.0,0,813,39.0,9.74,306.0,267.0,30.0,7.53,315.0,285.0
2026-07-20T14:07:12.959130+02:00,0.282,100.0,0,834,37.0,9.92,305.0,268.0,29.0,7.62,315.0,286.0
2026-07-20T14:07:12.983818+02:00,0.306,100.0,0,855,39.0,10.0,306.0,267.0,31.0,7.82,316.0,285.0
2026-07-20T14:07:13.000695+02:00,0.323,100.0,0,877,42.0,9.95,308.0,266.0,32.0,7.74,317.0,285.0
2026-07-20T14:07:13.023250+02:00,0.346,100.0,0,899,41.0,10.09,306.0,265.0,32.0,7.87,316.0,284.0
2026-07-20T14:07:13.043724+02:00,0.366,100.0,0,920,38.0,9.07,305.0,267.0,30.0,7.08,315.0,285.0
2026-07-20T14:07:13.065329+02:00,0.388,100.0,0,941,40.0,10.18,307.0,267.0,32.0,7.96,317.0,285.0
2026-07-20T14:07:13.086893+02:00,0.409,100.0,0,963,40.0,10.06,306.0,266.0,31.0,7.79,316.0,285.0
2026-07-20T14:07:13.115829+02:00,0.438,100.0,0,985,39.0,9.56,305.0,266.0,30.0,7.34,314.0,284.0
2026-07-20T14:07:13.129751+02:00,0.452,100.0,0,1006,39.0,9.4,307.0,268.0,31.0,7.28,317.0,286.0
2026-07-20T14:07:13.151377+02:00,0.474,100.0,0,1027,40.0,10.21,307.0,267.0,31.0,7.96,316.0,285.0
2026-07-20T14:07:13.172748+02:00,0.495,100.0,0,1049,40.0,9.91,306.0,266.0,31.0,7.66,316.0,285.0
2026-07-20T14:07:13.203228+02:00,0.526,100.0,0,1071,38.0,9.26,304.0,266.0,29.0,7.2,314.0,285.0
2026-07-20T14:07:13.221667+02:00,0.544,100.0,0,1093,40.0,10.13,306.0,266.0,31.0,7.86,316.0,285.0
2026-07-20T14:07:13.239313+02:00,0.562,100.0,0,1115,42.0,9.78,307.0,265.0,31.0,7.59,316.0,285.0
2026-07-20T14:07:13.260878+02:00,0.583,100.0,0,1137,43.0,10.04,307.0,264.0,32.0,7.81,316.0,284.0
2026-07-20T14:07:13.283764+02:00,0.606,100.0,0,1159,40.0,9.83,306.0,266.0,30.0,7.57,315.0,285.0
2026-07-20T14:07:13.303747+02:00,0.626,100.0,0,1180,40.0,9.08,306.0,266.0,30.0,7.09,315.0,285.0
2026-07-20T14:07:13.325343+02:00,0.648,100.0,0,1201,38.0,9.35,306.0,268.0,30.0,7.29,316.0,286.0
2026-07-20T14:07:13.346407+02:00,0.669,100.0,0,1222,39.0,9.84,305.0,266.0,30.0,7.72,315.0,285.0
2026-07-20T14:07:13.373059+02:00,0.696,100.0,0,1244,40.0,9.53,305.0,265.0,31.0,7.37,315.0,284.0
2026-07-20T14:07:13.392668+02:00,0.715,100.0,0,1266,37.0,9.03,305.0,268.0,29.0,7.01,315.0,286.0
2026-07-20T14:07:13.412398+02:00,0.735,100.0,0,1288,38.0,9.24,305.0,267.0,29.0,7.19,314.0,285.0
2026-07-20T14:07:13.433772+02:00,0.756,100.0,0,1310,39.0,9.26,305.0,266.0,30.0,7.29,315.0,285.0
2026-07-20T14:07:13.458348+02:00,0.781,100.0,0,1331,40.0,9.72,306.0,266.0,30.0,7.55,315.0,285.0
2026-07-20T14:07:13.478928+02:00,0.801,100.0,0,1352,38.0,9.55,306.0,268.0,29.0,7.44,315.0,286.0
2026-07-20T14:07:13.498694+02:00,0.821,100.0,0,1374,39.0,9.44,306.0,267.0,30.0,7.33,316.0,286.0
2026-07-20T14:07:13.520158+02:00,0.843,100.0,0,1396,40.0,9.53,307.0,267.0,31.0,7.37,316.0,285.0
2026-07-20T14:07:13.542477+02:00,0.865,100.0,0,1418,39.0,9.34,306.0,267.0,29.0,7.26,315.0,286.0
2026-07-20T14:07:13.564027+02:00,0.887,100.0,0,1440,38.0,9.1,305.0,267.0,29.0,7.02,314.0,285.0
2026-07-20T14:07:13.587733+02:00,0.910,100.0,0,1461,41.0,10.03,306.0,265.0,31.0,7.83,315.0,284.0
